Project ID:,COU-SCE-13-0001
,
,
Username,Role
XCHU001,Leader
KWOK0037,Leader
NHU1,Leader
MUHAMMAD123,Member
QYANG5,Member
TANY0340,Member
SKTEO2,Member
PTYIP1,Member
RCHIA3,Member
HEIN0007,Member
YXKANG1,Member
NISHTHA1,Member
PHAN0041,Member
C110043,Member
C110038,Member
YEQI0002,Member
PACHEN1,Member
GAOC0002,Member
SJIANG3,Member
WSLIM2,Member
YMOH1,Member
PPTHEIN1,Member
MSTAN2,Member
XUAI0001,Member
ALEX1,Member
BENC0001,Member
JACK0009,Member
QLI11,Member
YNG4,Member
BHARGAV1,Member
SUNS0009,Member
JWANG18,Member
C110044,Member
JBKOH2,Member
SLLOH2,Member
PENG0047,Member
SAN3,Member
KWSEET1,Member
WKTAY3,Member
YANG0314,Member
